"Name","Barcode","Tags","Available stock","purchase cost","Sale Price","status"
"DOOR CLOSER   KGI   632   SILIVER","","","0","3850","2500","published Edit Photos"
"DOOR CLOSER   KGI   632 D   CHAMPAGNE","","","0","1625","1900","published Edit Photos"
"DOOR CLOSER   KGI   643","","","2","4900","3650","published Edit Photos"
"DOOR CLOSER   MAXEL   70   CHAMPAGNE","","","113","2100","2300","published Edit Photos"
"DOOR CLOSER   MAXEL   70   SILIVER","","","15","2100","2300","published Edit Photos"
"DOOR CLOSER   SILIVER   643D","","","0","3750","4050","published Edit Photos"
"DOOR CLOSER   SMC   632   CHAMPION","","","8","3900","4200","published Edit Photos"
"DOOR CLOSER   SMC   632 SILIVER","","","0","3900","4000","published Edit Photos"
"DOOR CLOSER RECONDITION   62  CHAMPION","","","0","1100","1350","published Edit Photos"
"DRAWER CHANNEL   10   ARH   LIGHT","","","149","155","180","published Edit Photos"
"DRAWER CHANNEL   10   ARH   MEDIUM","","","0","250","290","published Edit Photos"
"DRAWER CHANNEL   10   SAK","","","150","245","260","published Edit Photos"
"DRAWER CHANNEL   10   SMC","","","0","317.5","330","published Edit Photos"
"DRAWER CHANNEL   12   ARH   MEDIUM","","","0","300","348","published Edit Photos"
"DRAWER CHANNEL   12   SAK","","","288","294","336","published Edit Photos"
"DRAWER CHANNEL   12   SAK   LIGHT","","","32","186","204","published Edit Photos"
"DRAWER CHANNEL   12   SMC","","","81","381","396","published Edit Photos"
"DRAWER CHANNEL   12   WHEEL   TREND","","","0","336","360","published Edit Photos"
"DRAWER CHANNEL   12   WICTOR   LIGHT","","","234","189","204","published Edit Photos"
"DRAWER CHANNEL   12 MAXEL","","","12","420","222","published Edit Photos"
"DRAWER CHANNEL   12 WHEEL","","","0","156","174","published Edit Photos"
"DRAWER CHANNEL   14   SAK","","","131","343","392","published Edit Photos"
"DRAWER CHANNEL   14   SAK   LIGHT","","","18","224","238","published Edit Photos"
"DRAWER CHANNEL   14   SMC","","","44","444.5","462","published Edit Photos"
"DRAWER CHANNEL   14   WHEEL   TREND","","","0","392","420","published Edit Photos"
"DRAWER CHANNEL   14   WICTOR   LIGHT","","","588","220.5","238","published Edit Photos"
"DRAWER CHANNEL   14 MAXEL","","","15","490","259","published Edit Photos"
"DRAWER CHANNEL   14 WHEEL","","","0","182","168","published Edit Photos"
"DRAWER CHANNEL   16   ARH   LIGHT","","","0","272","288","published Edit Photos"
"DRAWER CHANNEL   16   ARH   MEDIUM","","","2","400","480","published Edit Photos"
"DRAWER CHANNEL   16   SAK","","","0","416","448","published Edit Photos"
"DRAWER CHANNEL   16   SAK   LIGHT","","","0","256","272","published Edit Photos"
"DRAWER CHANNEL   16   SMC","","","52","508","528","published Edit Photos"
"DRAWER CHANNEL   16   WHEEL   TREND","","","0","448","480","published Edit Photos"
"DRAWER CHANNEL   16   WICTOR   LIGHT","","","74","220.5","238","published Edit Photos"
"DRAWER CHANNEL   16 MAXEL","","","15","560","296","published Edit Photos"
"DRAWER CHANNEL   18   ARH   LIGHT","","","0","306","324","published Edit Photos"
"DRAWER CHANNEL   18   ARH   MEDIUM","","","45","450","540","published Edit Photos"
"DRAWER CHANNEL   18   HOME WORK","","","0","468","504","published Edit Photos"
"DRAWER CHANNEL   18   SAK","","","32","450","504","published Edit Photos"
"DRAWER CHANNEL   18   SMC","","","24","571.5","594","published Edit Photos"
"DRAWER CHANNEL   18 MAXEL","","","0","630","333","published Edit Photos"
"DRAWER CHANNEL   18 WHEEL","","","0","234","225","published Edit Photos"
"DRAWER CHANNEL   20   PREMIO","","","13","450","500","published Edit Photos"
"DRAWER CHANNEL   20   SMC","","","5","640","660","published Edit Photos"
"DRAWER CHANNEL   22   SMC","","","1","748","759","published Edit Photos"
"DRAWER CHANNEL   BEIFEIBU   12","","","30","618","744","published Edit Photos"
"DRAWER CHANNEL   BEIFEIBU   12   PUSH OPEN","","","2","636","672","published Edit Photos"
"DRAWER CHANNEL   BEIFEIBU   14","","","45","721","840","published Edit Photos"
"DRAWER CHANNEL   BEIFEIBU   14   PUSH OPEN","","","0","742","784","published Edit Photos"
"DRAWER CHANNEL   BEIFEIBU   16","","","6","832","960","published Edit Photos"
"DRAWER CHANNEL   BEIFEIBU   16   PUSH OPEN","","","15","848","896","published Edit Photos"
"DRAWER CHANNEL   BEIFEIBU   18","","","43","936","1080","published Edit Photos"
"DRAWER CHANNEL   BEIFEIBU   18   PUSH OPEN","","","0","954","1008","published Edit Photos"
"DRAWER CHANNEL   BEIFEIBU   20   DA","","","0","1080","1100","published Edit Photos"
"DRAWER CHANNEL   BEIFEIBU   20   PUSH OPEN","","","9","1060","1120","published Edit Photos"
"DRAWER CHANNEL   GMC   16","","","0","464","496","published Edit Photos"
"DRAWER CHANNEL   GMC   18","","","0","522","558","published Edit Photos"
"DRAWER CHANNEL   PMHS   16","","","16","316","528","published Edit Photos"
"DRAWER CHANNEL  PRIME  18","","","0","486","531","published Edit Photos"
"DRAWER CHANNEL 12 ALUNIKI","","","0","216","213","published Edit Photos"
"DRAWER CHANNEL.  10   WICTOR","","","0","157.5","170","published Edit Photos"
"DRAWER CHANNEL.  12.  SPW","","","0","228","240","published Edit Photos"
"DRAWER LOCK   101   FAST","","","40","470","500","published Edit Photos"
"DRAWER LOCK   105   CLASSIC","","","0","2200","1550","published Edit Photos"
"DRAWER LOCK   108 A  SHH MAX","","","0","3600","4200","published Edit Photos"
"DRAWER LOCK   108 B  SHH MAX","","","2","3850","4200","published Edit Photos"
"DRAWER LOCK   138-22    SCREW PATTI  SAK","","","79.9993","815","950","published Edit Photos"
"DRAWER LOCK   138-22   ALUNIKI","","","83","1050","1150","published Edit Photos"
"DRAWER LOCK   138-22   AM FAST RED BOX","","","12","770","800","published Edit Photos"
"DRAWER LOCK   138-22   ATC COMP KEY","","","8","2350","2650","published Edit Photos"
"DRAWER LOCK   138-22   CLASSIC   METAL","","","3","2500","2650","published Edit Photos"
"DRAWER LOCK   138-22   CLASSIC PVC","","","1.16662","2400","2550","published Edit Photos"
"DRAWER LOCK   138-22   DIF HALF DICAST","","","10","1320","1550","published Edit Photos"
"DRAWER LOCK   138-22   FAST IRON   WITH SCREEW PATTI","","","1","820","900","published Edit Photos"
"DRAWER LOCK   138-22   IHS DICAST","","","7.16576","2200","2450","published Edit Photos"
"DRAWER LOCK   138-22   MAXELL","","","15","2400","2600","published Edit Photos"
"DRAWER LOCK   138-22   PMHS   HALF DICAST","","","2","1550","1950","published Edit Photos"
"DRAWER LOCK   138-22   PMHS SHEET WITH SCREW PAATI","","","0","925","1000","published Edit Photos"
"DRAWER LOCK   138-22   PREMIO","","","4","2000","2200","published Edit Photos"
"DRAWER LOCK   138-22   SAK   DIAMOND KEY","","","5.5","5150","5500","published Edit Photos"
"DRAWER LOCK   138-22   SAK   RED","","","0","1300","1350","published Edit Photos"
"DRAWER LOCK   138-22   SAK  LEAF KEY","","","8.8333","3500","3850","published Edit Photos"
"DRAWER LOCK   138-22   SAK COMP  HD","","","0.416","2400","3050","published Edit Photos"
"DRAWER LOCK   138-22   SMART","","","48","1700","1900","published Edit Photos"
"DRAWER LOCK   138-22   STI   WITHOUT SCREW","","","6","790","850","published Edit Photos"
"DRAWER LOCK   138-22   STI  HALF DICAST","","","92.6666","1275","1450","published Edit Photos"
"DRAWER LOCK   138-22   TREND METAL KEY","","","8.833698","1950","2100","published Edit Photos"
"DRAWER LOCK   138-22   TRIUMPH LASER","","","2","3400","2350","published Edit Photos"
"DRAWER LOCK   138-22   TRIUMPH LEAF","","","0","4400","3650","published Edit Photos"
"DRAWER LOCK   138-22   ZINC SAK","","","8.00003","1890","2200","published Edit Photos"
"DRAWER LOCK   138-22  FALE  SHEET","","","11.8333","820","950","published Edit Photos"
"DRAWER LOCK   138-22  STI RED   PVC","","","47","730","800","published Edit Photos"
"DRAWER LOCK   138-22 TRIUMPH BLUE","","","6.4993235","5900","4750","published Edit Photos"
"DRAWER LOCK   138-32   CLASSIC   PVC","","","0","2600","2800","published Edit Photos"
"DRAWER LOCK   138-32   SAK   ZINC","","","36","2025","2200","published Edit Photos"
"DRAWER LOCK   138-38   CLASSIC   MATEL","","","20","2800","3100","published Edit Photos"
"DRAWER LOCK   138-38   CLASSIC   PVC","","","8.42326","2700","3200","published Edit Photos"
"DRAWER LOCK   138-38   MAXELL","","","18","2700","3200","published Edit Photos"
"DRAWER LOCK   138-38   PMHS COMPUTER","","","0","3575","4150","published Edit Photos"
"DRAWER LOCK   138-38   SAK","","","48.5002","2175","2400","published Edit Photos"
"DRAWER LOCK   138-38   SAK COMPUTER","","","20","2850","3650","published Edit Photos"
"DRAWER LOCK   138-38   TRIUMPH BLUE","","","0","4800","3750","published Edit Photos"
"DRAWER LOCK   201   KHAS","","","30","1600","825","published Edit Photos"
"DRAWER LOCK   202   SAK","","","11","2450","2850","published Edit Photos"
"DRAWER LOCK   401   ARH","","","24.91666","1200","1300","published Edit Photos"
"DRAWER LOCK   408   CLASSIC","","","15","3100","2150","published Edit Photos"
"DRAWER LOCK   409   CLASSIC","","","1.00066","3200","3500","published Edit Photos"
"DRAWER LOCK   707   KHAS","","","0","950","860","published Edit Photos"
"DRAWER LOCK   808   CHINA","","","30.5","1200","1300","published Edit Photos"
"DRAWER LOCK   808 CL   METAL KEY","","","2","3100","3600","published Edit Photos"
"DRAWER LOCK   808 SAK   METAL","","","6.75","2650","2750","published Edit Photos"
"DRAWER LOCK   DOUBLE CHAL   CLASSIC","","","0","1450","2050","published Edit Photos"
"DRAWER LOCK   KHAS   108 A","","","0","3500","3650","published Edit Photos"
"DRAWER LOCK   KHAS   108 B","","","0","3500","3600","published Edit Photos"
"DRAWER LOCK   PMHS 138-22 COMPUTER","","","0","2375","2650","published Edit Photos"
"DRAWER LOCK   PUSH    CLASSIC","","","0","950","1250","published Edit Photos"
"DRAWER LOCK   SAK   10","","","53","250","280","published Edit Photos"
"DRAWER LOCK  138-22  HOMEWORK COMP KEY HEAVRY","","","0","3350","2950","published Edit Photos"
"DRAWER LOCK  138-22  PMHS DICAST MATEL KEY","","","0","2000","2400","published Edit Photos"
"DRAWER LOCK  138-38  PMHS   DICAST MATEL KEY","","","0","2400","2800","published Edit Photos"
"DRAWER LOCK.  138-22.  KHUDAL","","","0","800","950","published Edit Photos"
"EGGE EXPERT   STICKER","","","36","350","360","published Edit Photos"
"ELECTRIC LOCK   AKWA    88","","","10","3800","4200","published Edit Photos"
"ELECTRIC LOCK   AKWA    89","","","9","3800","4200","published Edit Photos"
"ELECTRIC LOCK   ECO   88","","","5","4800","3850","published Edit Photos"
"ELECTRIC LOCK   ECO   89","","","3","4800","5100","published Edit Photos"
"ELECTRIC LOCK   SHH    88 COMP","","","0","4100","3200","published Edit Photos"
"ELECTRIC LOCK   SMART   88","","","9","4800","5100","published Edit Photos"
"ELECTRIC LOCK   SMART   89","","","9","4800","5100","published Edit Photos"
"ELECTRIC LOCK   SMC   88","","","0","3900","4200","published Edit Photos"
"ELECTRIC LOCK   SMC   89","","","3","3850","4200","published Edit Photos"
"ELECTRIC LOCK   WHS   88","","","0","2600","2850","published Edit Photos"
"ELECTRIC LOCK.  PMHS.  COMPUTER. 88","","","0","2450","2650","published Edit Photos"
"ELECTRIC LOCK.  PMHS.  COMPUTER. 89","","","0","2500","0","published Edit Photos"
"FIBER NET   BROWN   3","","","4","2700","3400","published Edit Photos"
"FIBER NET   BROWN   4","","","72","3700","4400","published Edit Photos"
"FIBER NET   BROWN  5","","","0","4700","5800","published Edit Photos"
"FIBER NET   GREY   3","","","1","2700","3400","published Edit Photos"
"FIBER NET   GREY   4","","","2","3700","4400","published Edit Photos"
"FIBER NET   GREY  5","","","0","5600","5800","published Edit Photos"
"FLAP HINGES   CHINA","","","13","505","600","published Edit Photos"
"FLAP HINGES   KHAS","","","41","740","710","published Edit Photos"
"FLASH BOLT BUTTON  3","","","0","150","160","published Edit Photos"
"FLASH BOLT BUTTON  4","","","0","160","180","published Edit Photos"
"FLOOR HINGES   222Z","","","0","4400","4000","published Edit Photos"
"FLOOR HINGES   K-8300   KHAS BLUE","","","0","7300","7600","published Edit Photos"
"FOLDING BRACKET   10","","","0","475","530","published Edit Photos"
"FOLDING BRACKET   12","","","0","525","580","published Edit Photos"
"FOLDING BRACKET   14","","","0","575","630","published Edit Photos"
"FOLDING BRACKET   8","","","0","425","480","published Edit Photos"
"FURNITURE KNOB  AB","","","167","48","58","published Edit Photos"
"FURNITURE KNOB  COFFE","","","198","48","58","published Edit Photos"
"FURNITURE KNOB  CP","","","74","48","58","published Edit Photos"
"FURNITURE KNOB  PVC  BLACK","","","100","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  BROWN","","","250","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  CHATAI","","","300","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  DIYAR","","","150","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  GOLDEN","","","250","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  GREY SILIVER","","","200","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  LIGHT TECK","","","0","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  OAK","","","100","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  RED","","","150","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  TECK","","","0","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  TEXTURE","","","250","20","25","published Edit Photos"
"FURNITURE KNOB  PVC  WHITE","","","100","20","25","published Edit Photos"
"GATE LOCK   AKWA   12B","","","2","1000","1100","published Edit Photos"
"GATE LOCK   FARA","","","4","1060","1100","published Edit Photos"
"GATE LOCK   ICON   12B","","","23","1500","1750","published Edit Photos"
"GATE LOCK   ICON   12B 3M","","","24","1500","1750","published Edit Photos"
"GATE LOCK   LINCY 12B","","","29","1230","1450","published Edit Photos"
"GLASS LOCK   FAST AR","","","1.33633","2150","2650","published Edit Photos"
"GLASS LOCK   SAK","","","9","1900","2300","published Edit Photos"
"H P   2 PLY   2","","","4","360","425","published Edit Photos"
"H P   4 PLY","","","39","580","850","published Edit Photos"
"H P LOCK   BLK   2","","","0","750","850","published Edit Photos"
"HANDLE   5129   C/P   160","","","0","63","75","published Edit Photos"
"HANDLE   ALU   5","","","32.166","820","880","published Edit Photos"
"HANDLE   ALU   6","","","13.83325","870","930","published Edit Photos"
"HANDLE   ALU  4","","","17","770","830","published Edit Photos"
"HANDLE   ALU  7","","","6","140","160","published Edit Photos"
"HANDLE   ALU  8","","","16","190","210","published Edit Photos"
"HANDLE LOCK   ALUNIKI   006 AE","","","30","1200","1300","published Edit Photos"
"HANDLE LOCK   ALUNIKI   007 AB","","","32","1200","1300","published Edit Photos"
"HANDLE LOCK   ALUNIKI   007 AE","","","40","1200","1300","published Edit Photos"
"HANDLE LOCK   CRAFT   VIENNA 12 CF","","","22","1135","1200","published Edit Photos"
"HANDLE LOCK   CRAFT   VIENNA 13 CF","","","0","1135","1200","published Edit Photos"
"HANDLE LOCK   IHS   718 AB","","","0","1600","2100","published Edit Photos"
"HANDLE LOCK   IHS   799 AB","","","6","2000","2550","published Edit Photos"
"HANDLE LOCK   IHS   DULF   204 MAE","","","3","2400","2650","published Edit Photos"
"HANDLE LOCK   IHS   DULF   410 MTB/CP","","","0","2000","2350","published Edit Photos"
"HANDLE LOCK   IHS   DULF   808 MTB/CP","","","0","2400","2650","published Edit Photos"
"HANDLE LOCK   IHS   DULF   810 MAB/CP","","","0","2000","2350","published Edit Photos"
"HANDLE LOCK   KFV   22 AB","","","6","1050","1150","published Edit Photos"
"HANDLE LOCK   KRUD AL   312 AE","","","1","1550","1650","published Edit Photos"
"HANDLE LOCK   KRUD AL   312 AE","","","0","1550","1650","published Edit Photos"
"HANDLE LOCK   MAXIMUM   102","","","0","1750","1825","published Edit Photos"
"HANDLE LOCK   MAXIMUM PLUS   004 AB","","","0","2600","2750","published Edit Photos"
"HANDLE LOCK   PMHS    05 AB","","","0","1150","1180","published Edit Photos"
"HANDLE LOCK   PMHS   01 AB","","","91","1070","1050","published Edit Photos"
"HANDLE LOCK   PMHS   01 AE","","","19","1070","850","published Edit Photos"
"HANDLE LOCK   PMHS   012 AB","","","0","950","1050","published Edit Photos"
"HANDLE LOCK   PMHS   012 AE","","","0","1025","1050","published Edit Photos"
"HANDLE LOCK   PMHS   013 AE","","","0","1125","1050","published Edit Photos"
"HANDLE LOCK   PMHS   015 AB","","","37","1070","1050","published Edit Photos"
"HANDLE LOCK   PMHS   015 AE","","","0","970","1050","published Edit Photos"
"HANDLE LOCK   PMHS   02 AB","","","0","1055","1180","published Edit Photos"
"HANDLE LOCK   PMHS   02 AE","","","0","850","1180","published Edit Photos"
"HANDLE LOCK   PMHS   03   AB","","","36","1070","1170","published Edit Photos"
"HANDLE LOCK   PMHS   03 AE","","","42","1070","1180","published Edit Photos"
"HANDLE LOCK   PMHS   04   MBN","","","20","1250","1450","published Edit Photos"
"HANDLE LOCK   PMHS   04 ABM","","","0","1250","1250","published Edit Photos"
"HANDLE LOCK   PMHS   049 AB","","","0","1390","1575","published Edit Photos"
"HANDLE LOCK   PMHS   05 ABM","","","0","1175","975","published Edit Photos"
"HANDLE LOCK   PMHS   058 AE","","","0","1390","1575","published Edit Photos"
"HANDLE LOCK   PMHS   05AE","","","0","1150","1180","published Edit Photos"
"HANDLE LOCK   PMHS   06   BLACK","","","0","1070","1180","published Edit Photos"
"HANDLE LOCK   PMHS   06 AB","","","55","1070","1180","published Edit Photos"
"HANDLE LOCK   PMHS   07   MBN","","","0","1300","1450","published Edit Photos"
"HANDLE LOCK   PMHS   07 AB","","","9","1125","1250","published Edit Photos"
"HANDLE LOCK   PMHS   07 AE","","","21","1250","1250","published Edit Photos"
"HANDLE LOCK   PMHS   08 AB","","","0","1025","765","published Edit Photos"
"HANDLE LOCK   PMHS   08 AE","","","0","1025","765","published Edit Photos"
"HANDLE LOCK   PMHS   09 AE","","","0","870","950","published Edit Photos"
"HANDLE LOCK   PMHS   10 AB","","","33","1070","1180","published Edit Photos"
"HANDLE LOCK   PMHS   10 AE","","","65","1070","1180","published Edit Photos"
"HANDLE LOCK   PMHS   10 MAB CP","","","0","1200","1450","published Edit Photos"
"HANDLE LOCK   PMHS   116MAB","","","20","2300","2650","published Edit Photos"
"HANDLE LOCK   PMHS   116MAE","","","20","2300","2650","published Edit Photos"
"HANDLE LOCK   PMHS   117MAB","","","0","2300","2750","published Edit Photos"
"HANDLE LOCK   PMHS   117MAE","","","20","2300","2650","published Edit Photos"
"HANDLE LOCK   PMHS   118MAB","","","0","2400","2750","published Edit Photos"
"HANDLE LOCK   PMHS   119MAB","","","1","2300","2650","published Edit Photos"
"HANDLE LOCK   PMHS   119MAE","","","12","2300","2650","published Edit Photos"
"HANDLE LOCK   PMHS   123 CF","","","0","2300","2650","published Edit Photos"
"HANDLE LOCK   PMHS   123MAB","","","0","2300","2750","published Edit Photos"
"HANDLE LOCK   PMHS   124 ABM/CP","","","3","2400","2650","published Edit Photos"
"HANDLE LOCK   PMHS   127 ABM/CP","","","7","2400","2650","published Edit Photos"
"HANDLE LOCK   PMHS   129 ABM/CP","","","2","2400","2650","published Edit Photos"
"HANDLE LOCK   PMHS   14 AB   ZINC","","","0","705","765","published Edit Photos"
"HANDLE LOCK   PMHS   144 ABM/CP","","","0","3800","4100","published Edit Photos"
"HANDLE LOCK   PMHS   145 ABM/CP","","","0","3800","4150","published Edit Photos"
"HANDLE LOCK   PMHS   146 ABM/CP","","","0","3800","4250","published Edit Photos"
